Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.12,87,0.032,Completed
SSI,314,50,50,0.12,88,0.026,Completed
SSI,314,50,50,0.12,89,0.029,Completed
SSI,314,50,50,0.12,90,0.030,Completed
SSI,314,50,50,0.12,91,0.026,Completed
SSI,314,50,50,0.12,92,0.028,Completed
SSI,314,50,50,0.12,93,0.027,Completed
SSI,314,50,50,0.12,94,0.024,Completed
SSI,314,50,50,0.12,95,0.028,Completed
SSI,314,50,50,0.12,96,0.020,Completed
SSI,314,50,50,0.12,97,0.023,Completed
SSI,314,50,50,0.12,98,0.026,Completed
SSI,314,50,50,0.12,99,0.026,Completed
SSI,314,50,50,0.13,0,0.025,Completed
SSI,314,50,50,0.13,1,0.021,Completed
SSI,314,50,50,0.13,2,0.024,Completed
SSI,314,50,50,0.13,3,0.021,Completed
SSI,314,50,50,0.13,4,0.025,Completed
SSI,314,50,50,0.13,5,0.021,Completed
SSI,314,50,50,0.13,6,0.025,Completed
SSI,314,50,50,0.13,7,0.024,Completed
SSI,314,50,50,0.13,8,0.022,Completed
SSI,314,50,50,0.13,9,0.027,Completed
SSI,314,50,50,0.13,10,0.028,Completed
SSI,314,50,50,0.13,11,0.020,Completed
SSI,314,50,50,0.13,12,0.023,Completed
SSI,314,50,50,0.13,13,0.037,Completed
SSI,314,50,50,0.13,14,0.020,Completed
SSI,314,50,50,0.13,15,0.027,Completed
SSI,314,50,50,0.13,16,0.029,Completed
SSI,314,50,50,0.13,17,0.031,Completed
SSI,314,50,50,0.13,18,0.031,Completed
SSI,314,50,50,0.13,19,0.027,Completed
SSI,314,50,50,0.13,20,0.029,Completed
SSI,314,50,50,0.13,21,0.027,Completed
SSI,314,50,50,0.13,22,0.031,Completed
SSI,314,50,50,0.13,23,0.029,Completed
SSI,314,50,50,0.13,24,0.029,Completed
SSI,314,50,50,0.13,25,0.028,Completed
SSI,314,50,50,0.13,26,0.025,Completed
SSI,314,50,50,0.13,27,0.030,Completed
SSI,314,50,50,0.13,28,0.027,Completed
SSI,314,50,50,0.13,29,0.021,Completed
SSI,314,50,50,0.13,30,0.026,Completed
SSI,314,50,50,0.13,31,0.027,Completed
SSI,314,50,50,0.13,32,0.025,Completed
SSI,314,50,50,0.13,33,0.026,Completed
SSI,314,50,50,0.13,34,0.029,Completed
SSI,314,50,50,0.13,35,0.034,Completed
SSI,314,50,50,0.13,36,0.029,Completed
SSI,314,50,50,0.13,37,0.025,Completed
