Method,numP,Width,Height,Ratio,Sample,Time_s,Status,Attempts,Rejects
SSI,314,50,50,0.140,74,0.032,Completed,345,31
SSI,314,50,50,0.140,75,0.032,Completed,345,31
SSI,314,50,50,0.140,76,0.031,Completed,343,29
SSI,314,50,50,0.140,77,0.037,Completed,359,45
SSI,314,50,50,0.140,78,0.033,Completed,344,30
SSI,314,50,50,0.140,79,0.031,Completed,341,27
SSI,314,50,50,0.140,80,0.038,Completed,350,36
SSI,314,50,50,0.140,81,0.039,Completed,343,29
SSI,314,50,50,0.140,82,0.031,Completed,354,40
SSI,314,50,50,0.140,83,0.035,Completed,351,37
SSI,314,50,50,0.140,84,0.031,Completed,340,26
SSI,314,50,50,0.140,85,0.027,Completed,347,33
SSI,314,50,50,0.140,86,0.038,Completed,357,43
SSI,314,50,50,0.140,87,0.033,Completed,356,42
SSI,314,50,50,0.140,88,0.029,Completed,350,36
SSI,314,50,50,0.140,89,0.029,Completed,345,31
SSI,314,50,50,0.140,90,0.028,Completed,349,35
SSI,314,50,50,0.140,91,0.044,Completed,360,46
SSI,314,50,50,0.140,92,0.029,Completed,352,38
SSI,314,50,50,0.140,93,0.029,Completed,346,32
